ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"46.227.37.1","elite","AS51155","PL","Telemedian - TB Telecom","98","Telemedian","1088","socks4","5094","1","2023-10-18T20:32:52.846Z","100","4445","4456"
"46.148.163.119","elite","AS197405","PL","Tomkow Sp. z o.o.","45","Tomkow Sp. z o.o","5678","socks4","4281","1","2023-10-18T20:32:46.847Z","98","4343","4420"
"185.32.4.65","elite","AS60645","PL","AS Consulting Sp. z o. o.","38","Core Network Fiber","4153","socks4","4806","82","2023-10-18T20:31:47.239Z","99","4392","4419"
"193.34.45.179","elite","AS199201","PL","SPI-NET Norbert Nowicki","35","SPI","5678","socks5","5089","1","2023-10-18T20:30:39.437Z","100","4344","4347"
"185.75.161.118","elite","AS204373","PL","POLINEO Sp. z o.o.","88","POLINEO Sp. z o.o","5678","socks4","2408","1","2023-10-18T20:30:26.742Z","99","4393","4450"
"178.212.49.96","elite","AS197025","PL","Lubuskie Sieci Swiatlowodowe Sp. z o. o.","55","Lubuskie Sieci Swiatlowodowe Sp. z o. o","1080","socks4","414","1","2023-10-18T20:30:15.640Z","98","4256","4334"
"178.212.53.3","elite","AS197025","PL","Lubuskie Sieci Swiatlowodowe Sp. z o. o.","98","Lubuskie Sieci Swiatlowodowe Sp. z o. o","1080","socks4","4895","1","2023-10-18T20:30:09.337Z","99","4377","4419"
"46.227.37.17","elite","AS51155","PL","Telemedian - TB Telecom","42","Telemedian","1088","socks4","1240","1","2023-10-18T20:29:26.434Z","100","4393","4406"
"178.212.55.57","elite","AS197025","PL","Lubuskie Sieci Swiatlowodowe Sp. z o. o.","84","Lubuskie Sieci Swiatlowodowe Sp. z o. o","1080","socks4","2203","2","2023-10-18T20:28:42.136Z","97","4336","4460"
"80.53.84.14","elite","AS5617","PL","Orange Polska Spolka Akcyjna","54","Telekomunikacja Polska S.A.","8080","socks4","2902","1","2023-10-18T20:28:42.038Z","86","3722","4308"
"89.161.70.115","elite","AS39375","PL","Telekomunikacja Podlasie sp. z o.o.","41","TPODLASIE CATV Network","5678","socks4","4800","1","2023-10-18T20:27:23.842Z","100","4357","4370"
"178.212.48.18","elite","AS197025","PL","Lubuskie Sieci Swiatlowodowe Sp. z o. o.","83","Lubuskie Sieci Swiatlowodowe Sp. z o. o","5678","socks4","4495","1","2023-10-18T20:26:49.745Z","100","4402","4417"
"91.233.75.141","elite","AS57592","PL","Syrion Sp. z o.o.","47","Syrion Sp. z o.o","5678","socks4","2295","1","2023-10-18T20:26:46.735Z","97","4247","4378"
"46.227.37.137","elite","AS51155","PL","Telemedian - TB Telecom","103","Telemedian","1088","socks4","4712","1","2023-10-18T20:26:41.040Z","99","4344","4370"
"46.174.235.235","elite","AS15874","PL","Interkam Szczepanik Spolka Komandytowa","39","Interkam Szczepanik Spolka Komandytowa","5678","socks4","4993","1","2023-10-18T20:25:37.039Z","99","4308","4370"
"46.227.37.185","elite","AS51155","PL","Telemedian - TB Telecom","40","Telemedian","1088","socks4","5004","2","2023-10-18T20:24:56.738Z","100","4368","4382"
"77.65.23.74","elite","AS13110","PL","Inea S.A","100","N/A","13110","socks5","4800","1","2023-10-18T20:24:04.252Z","99","4358","4392"
"178.212.48.84","elite","AS197025","PL","Lubuskie Sieci Swiatlowodowe Sp. z o. o.","87","Lubuskie Sieci Swiatlowodowe Sp. z o. o","1080","socks4","2989","1","2023-10-18T20:23:41.444Z","100","4472","4478"
"46.227.37.73","elite","AS51155","PL","Telemedian - TB Telecom","38","Telemedian","51155","socks4","4083","1","2023-10-18T20:22:09.740Z","100","4396","4409"
"178.212.51.79","elite","AS197025","PL","Lubuskie Sieci Swiatlowodowe Sp. z o. o.","96","Lubuskie Sieci Swiatlowodowe Sp. z o. o","5678","socks4","4801","83","2023-10-18T20:20:43.047Z","99","4393","4416"
